Rank,Title,Year,Composer(s),Lyricist(s),URL
140,In a Mellotone,1940,Duke Ellington,Milt Gabler,https://www.jazzstandards.com/compositions-1/inamellotone.htm
141,Moonlight in Vermont,1944,Karl Suessdorf,John M. Blackburn,https://www.jazzstandards.com/compositions-1/moonlightinvermont.htm
142,Sweet and Lovely,1931,"Gus Arnheim, Charles N. Daniels, Harry Tobias","Gus Arnheim, Charles N. Daniels, Harry Tobias",https://www.jazzstandards.com/compositions-1/sweetandlovely.htm
143,Gone with the Wind,1937,Allie Wrubel,Herb Magidson,https://www.jazzstandards.com/compositions-1/gonewiththewind.htm
144,Old Folks,1938,Willard Robison,Dedette Lee Hill,https://www.jazzstandards.com/compositions-1/oldfolks.htm
145,Three Little Words,1930,Harry Ruby,Bert Kalmar,https://www.jazzstandards.com/compositions-1/threelittlewords.htm
146,Flamingo,1941,Theodor Grouya,Edmund Anderson,https://www.jazzstandards.com/compositions-1/flamingo.htm
147,Like Someone in Love,1944,Jimmy Van Heusen,Johnny Burke,https://www.jazzstandards.com/compositions-1/likesomeoneinlove.htm
148,C Jam Blues,1942,Duke Ellington,Duke Ellington,https://www.jazzstandards.com/compositions-1/cjamblues.htm
149,Sometimes I'm Happy,1925,Vincent Youmans,Irving Caesar,https://www.jazzstandards.com/compositions-1/sometimesimhappy.htm
150,Gee Baby Ain't I Good to You,1929,Don Redman,Andy Razaf,https://www.jazzstandards.com/compositions-1/geebabyaintigoodtoyou.htm
151,Come Sunday,1943,Duke Ellington,Duke Ellington,https://www.jazzstandards.com/compositions-1/comesunday.htm
152,I Let a Song Go Out of My Heart,1938,Duke Ellington,"Irving Mills, Henry Nemo, John Redmond",https://www.jazzstandards.com/compositions-1/iletasonggooutofmyheart.htm
153,Lullaby of Birdland,1952,George Shearing,George Weiss,https://www.jazzstandards.com/compositions-1/lullabyofbirdland.htm
154,It's Only a Paper Moon,1933,Harold Arlen,"Yip Harburg, Billy Rose",https://www.jazzstandards.com/compositions-1/itsonlyapapermoon.htm
155,If I Could Be with You (One Hour Tonight),1926,James P. Johnson,Henry Creamer,https://www.jazzstandards.com/compositions-1/ificouldbewithyou.htm
156,Time on My Hands,1930,Vincent Youmans,"Harold Adamson, Mack Gordon",https://www.jazzstandards.com/compositions-1/timeonmyhands.htm
157,Between the Devil and the Deep Blue Sea,1931,Harold Arlen,Ted Koehler,https://www.jazzstandards.com/compositions-1/betweenthedevilandthedeepbluesea.htm
158,Nice Work If You Can Get It,1937,George Gershwin,Ira Gershwin,https://www.jazzstandards.com/compositions-1/niceworkifyoucangetit.htm
159,The Song Is You,1932,Jerome Kern,Oscar Hammerstein II,https://www.jazzstandards.com/compositions-1/thesongisyou.htm
160,I've Got You Under My Skin,1936,Cole Porter,Cole Porter,https://www.jazzstandards.com/compositions-1/ivegotyouundermyskin.htm
161,Mood Indigo,1930,"Barney Bigard, Duke Ellington, Irving Mills","Barney Bigard, Duke Ellington, Irving Mills",https://www.jazzstandards.com/compositions-1/moodindigo.htm
162,I Can't Give You Anything but Love,1928,Jimmy McHugh,Dorothy Fields,https://www.jazzstandards.com/compositions-1/icantgiveyouanythingbutlove.htm
163,Straight No Chaser,1951,Thelonious Monk,Thelonious Monk,https://www.jazzstandards.com/compositions-1/straightnochaser.htm
164,My Melancholy Baby,1911,Ernie Burnett,George A. Norton,https://www.jazzstandards.com/compositions-1/mymelancholybaby.htm
165,Sheik of Araby,1921,Ted Snyder,"Harry B. Smith, Francis Wheeler",https://www.jazzstandards.com/compositions-1/sheikofaraby.htm
166,I Can't Believe That You're in Love with Me,1926,Jimmy McHugh,Clarence Gaskill,https://www.jazzstandards.com/compositions-1/icantbelievethatyoureinlovewithme.htm
167,Stairway to the Stars (Park Avenue Fantasy),1935,"Matt Malneck, Frank Signorelli",Mitchell Parish,https://www.jazzstandards.com/compositions-1/stairwaytothestars.htm
168,Yardbird Suite,1946,Charlie Parker,Charlie Parker,https://www.jazzstandards.com/compositions-1/yardbirdsuite.htm
169,Get Happy,1929,Harold Arlen,Ted Koehler,https://www.jazzstandards.com/compositions-1/gethappy.htm
170,God Bless the Child,1941,"Arthur Herzog Jr., Billie Holiday","Arthur Herzog Jr., Billie Holiday",https://www.jazzstandards.com/compositions-1/godblessthechild.htm
171,Squeeze Me,1925,Fats Waller,Clarence Williams,https://www.jazzstandards.com/compositions-1/squeezeme.htm
172,Somebody Loves Me,1924,"George Gershwin, Emilia Renaud","BG De Sylva, Ballard MacDonald",https://www.jazzstandards.com/compositions-1/somebodylovesme.htm
173,Woody'n You,1943,Dizzy Gillespie,Dizzy Gillespie,https://www.jazzstandards.com/compositions-1/woodynyou.htm
174,Limehouse Blues,1922,Philip Braham,Douglas Furber,https://www.jazzstandards.com/compositions-1/limehouseblues.htm
