Rank,Title,Year,Composer(s),Lyricist(s),URL
633,Nardis,1959,Miles Davis,Miles Davis,https://www.jazzstandards.com/compositions-6/nardis.htm
634,Please Don't Talk About Me When I'm Gone,1930,Sam H Stept,Sidney Clare,https://www.jazzstandards.com/compositions-6/pleasedonttalkaboutmewhenimgone.htm
635,Wonder Why,1951,Nikolaus Brodszky,Sammy Cahn,https://www.jazzstandards.com/compositions-6/wonderwhy.htm
636,I'm Thru with Love,1931,"Fud Livingston, Matt Malneck",Gus Kahn,https://www.jazzstandards.com/compositions-6/imthruwithlove.htm
637,Ruby,1953,Heinz Roemheld,Mitchell Parish,https://www.jazzstandards.com/compositions-6/ruby.htm
638,Night Train,1952,"Oscar Washington, Lewis C Simpkins, Jimmy Forrest","Oscar Washington, Lewis C Simpkins, Jimmy Forrest",https://www.jazzstandards.com/compositions-6/nighttrain.htm
639,Say It Isn't So,1932,Irving Berlin,Irving Berlin,https://www.jazzstandards.com/compositions-6/sayitisntso.htm
640,You're Blase,1932,Ord Hamilton,R Bruce Sievier,https://www.jazzstandards.com/compositions-6/youreblase.htm
641,On the Trail,1933,Ferde Grofe,Ferde Grofe,https://www.jazzstandards.com/compositions-6/onthetrail.htm
642,Baia,1938,Ary Evangelista Barroso,Ray Gilbert,https://www.jazzstandards.com/compositions-6/baia.htm
643,Lazy Afternoon,1954,Jerome Moross,John Latouche,https://www.jazzstandards.com/compositions-6/lazyafternoon.htm
644,Shoe Shine Boy,1936,Saul Chaplin,Sammy Cahn,https://www.jazzstandards.com/compositions-6/shoeshineboy.htm
645,Under a Blanket of Blue,1933,Jerry Livingston,"Al J Neiburg, Marty Symes",https://www.jazzstandards.com/compositions-6/underablanketofblue.htm
646,The Second Time Around,1960,Jimmy Van Heusen,Sammy Cahn,https://www.jazzstandards.com/compositions-6/thesecondtimearound.htm
647,Trinkle Tinkle,1952,Thelonious Monk,Thelonious Monk,https://www.jazzstandards.com/compositions-6/trinkletinkle.htm
648,West End Blues,1928,"King Oliver, Clarence Williams","King Oliver, Clarence Williams",https://www.jazzstandards.com/compositions-6/westendblues.htm
649,Danny Boy,rad.,Traditional,Traditional,https://www.jazzstandards.com/compositions-6/dannyboy.htm
650,Ain't She Sweet,1927,Milton Ager,Jack Yellen,https://www.jazzstandards.com/compositions-6/aintshesweet.htm
651,Deep River,rad.,Traditional,Traditional,https://www.jazzstandards.com/compositions-6/deepriver.htm
652,Tune Up,1953,Miles Davis,Miles Davis,https://www.jazzstandards.com/compositions-6/tuneup.htm
653,Tain't Nobody's Business If I Do,1922,"Porter Grainger, Everett Robbins","Porter Grainger, Everett Robbins",https://www.jazzstandards.com/compositions-6/taintnobodysbusinessifido.htm
654,Jordu,1953,Duke Jordan,Duke Jordan,https://www.jazzstandards.com/compositions-6/jordu.htm
655,Peg O' My Heart,1913,Fred Fisher,Alfred Bryan,https://www.jazzstandards.com/compositions-6/pegomyheart.htm
656,Take Five,1960,Paul Desmond,Paul Desmond,https://www.jazzstandards.com/compositions-6/takefive.htm
657,Nobody Else but Me,1946,Jerome Kern,Oscar Hammerstein II,https://www.jazzstandards.com/compositions-6/nobodyelsebutme.htm
658,Ja-Da,1918,Bob Carleton,Bob Carleton,https://www.jazzstandards.com/compositions-6/jada.htm
659,No More,1944,Toots Camarata,Bob Russell,https://www.jazzstandards.com/compositions-6/nomore.htm
660,You Turned the Tables on Me,1936,Louis Alter,Sidney D Mitchell,https://www.jazzstandards.com/compositions-6/youturnedthetablesonme.htm
661,I Get Along Without You Very Well,1939,Hoagy Carmichael,Hoagy Carmichael,https://www.jazzstandards.com/compositions-6/igetalongwithoutyouverywell.htm
662,Easter Parade,1933,Irving Berlin,Irving Berlin,https://www.jazzstandards.com/compositions-6/easterparade.htm
663,Try a Little Tenderness,1932,Harry M Woods,"James Campbell, Reginald Connelly",https://www.jazzstandards.com/compositions-6/tryalittletenderness.htm
664,Sonny Boy,1928,Ray Henderson,"Lew Brown, BG De Sylva, Al Jolson",https://www.jazzstandards.com/compositions-6/sonnyboy.htm
665,The Lady's in Love with You,1939,Burton Lane,Frank Loesser,https://www.jazzstandards.com/compositions-6/theladysinlovewithyou.htm
666,Linger Awhile,1923,Vincent Rose,Harry Owens,https://www.jazzstandards.com/compositions-6/lingerawhile.htm
667,In a Little Spanish Town,1926,Mabel Wayne,"Sam M. Lewis, Joseph Young",https://www.jazzstandards.com/compositions-6/inalittlespanishtown.htm
668,Humoresque,1894,Anton Dvorak,Anton Dvorak,https://www.jazzstandards.com/compositions-6/humoresque.htm
669,Wolverine Blues,1923,"Jelly Roll Morton, Benjamin F Spikes, John C Spikes","Jelly Roll Morton, Benjamin F Spikes, John C Spikes",https://www.jazzstandards.com/compositions-6/wolverineblues.htm
670,Prisoner of Love,1931,"Clarence Gaskill, Russ Columbo",Leo Robin,https://www.jazzstandards.com/compositions-6/prisoneroflove.htm
671,Dancing on the Ceiling,1930,Richard Rodgers,Lorenz Hart,https://www.jazzstandards.com/compositions-6/dancingontheceiling.htm
672,I'll Take Romance,1937,Ben Oakland,Oscar Hammerstein II,https://www.jazzstandards.com/compositions-6/illtakeromance.htm
673,Look for the Silver Lining,1920,Jerome Kern,BG De Sylva,https://www.jazzstandards.com/compositions-6/lookforthesilverlining.htm
674,Gloomy Sunday,1936,Rezso Seress,"Laszlo Javor, Sam M. Lewis",https://www.jazzstandards.com/compositions-6/gloomysunday.htm
675,When a Woman Loves a Man,1938,"Bernie Hanighen, Gordon Jenkins, Johnny Mercer","Bernie Hanighen, Gordon Jenkins, Johnny Mercer",https://www.jazzstandards.com/compositions-6/whenawomanlovesaman.htm
676,It's a Blue World,1939,Chet Forrest,Robert Craig Wright,https://www.jazzstandards.com/compositions-6/itsablueworld.htm
677,Ballin' the Jack,1913,Chris Smith,James Henry Burris,https://www.jazzstandards.com/compositions-6/ballinthejack.htm
678,You Leave Me Breathless,1938,Frederick K Hollander,Ralph Freed,https://www.jazzstandards.com/compositions-6/youleavemebreathless.htm
679,Tickle Toe,1940,"Lester Young, Jon Hendricks","Lester Young, Jon Hendricks",https://www.jazzstandards.com/compositions-6/tickletoe.htm
680,Little White Lies,1930,Walter Donaldson,Walter Donaldson,https://www.jazzstandards.com/compositions-6/littlewhitelies.htm
681,Strange Fruit,1940,Lewis Allen,Lewis Allen,https://www.jazzstandards.com/compositions-6/strangefruit.htm
682,Lazy River,1931,"Hoagy Carmichael, Sidney Arodin","Hoagy Carmichael, Sidney Arodin",https://www.jazzstandards.com/compositions-6/lazyriver.htm
683,Once I Loved,1963,Antonio Carlos Jobim,"Vinicius De Moraes, Ray Gilbert",https://www.jazzstandards.com/compositions-6/onceiloved.htm
684,Moon River,1961,Henry N. Mancini,Johnny Mercer,https://www.jazzstandards.com/compositions-6/moonriver.htm
685,Meditation,1962,Antonio Carlos Jobim,"Newton Mendonca, Norman Gimbel",https://www.jazzstandards.com/compositions-6/meditation.htm
686,I'm Crazy 'Bout My Baby,1931,Fats Waller,Alex Hill,https://www.jazzstandards.com/compositions-6/imcrazyboutmybaby.htm
687,Do You Know What It Means to Miss New Orleans,1946,Louis Alter,Eddie De Lange,https://www.jazzstandards.com/compositions-6/doyouknowwhatitmeanstomissneworleans.htm
688,Lost in the Stars,1949,Kurt Weill,Maxwell Anderson,https://www.jazzstandards.com/compositions-6/lostinthestars.htm
689,It's Magic,1948,Jule Styne,Sammy Cahn,https://www.jazzstandards.com/compositions-6/itsmagic.htm
690,How Come You Do Me Like You Do,1924,"Gene Austin, Roy Bergere","Gene Austin, Roy Bergere",https://www.jazzstandards.com/compositions-6/howcomeyoudomelikeyoudo.htm
691,Doxy,1954,Sonny Rollins,Sonny Rollins,https://www.jazzstandards.com/compositions-6/doxy.htm
692,Stuffy,1945,Coleman Hawkins,Coleman Hawkins,https://www.jazzstandards.com/compositions-6/stuffy.htm
693,Serenade in Blue,1942,Harry Warren,Mack Gordon,https://www.jazzstandards.com/compositions-6/serenadeinblue.htm
694,Dindi,1965,"Aloysio De Oliveira, Ray Gilbert, Antonio Carlos Jobim","Aloysio De Oliveira, Ray Gilbert, Antonio Carlos Jobim",https://www.jazzstandards.com/compositions-6/dindi.htm
695,Day By Day,1945,"Axel Stordahl, Paul Weston",Sammy Cahn,https://www.jazzstandards.com/compositions-6/daybyday.htm
696,Tuxedo Junction,1940,"Julian Dash, Buddy Feyne, Erskine Hawkins, William Luther Johnson","Julian Dash, Buddy Feyne, Erskine Hawkins, William Luther Johnson",https://www.jazzstandards.com/compositions-6/tuxedojunction.htm
697,Please Be Kind,1938,"Sammy Cahn, Saul Chaplin","Sammy Cahn, Saul Chaplin",https://www.jazzstandards.com/compositions-6/pleasebekind.htm
698,The Look of Love,1967,Burt F Bacharach,Hal David,https://www.jazzstandards.com/compositions-6/thelookoflove.htm
699,Moose the Mooche,1946,Charlie Parker,Charlie Parker,https://www.jazzstandards.com/compositions-6/moosethemooche.htm
700,Allen's Alley,1949,Denzil Best,Denzil Best,https://www.jazzstandards.com/compositions-6/allensalley.htm
701,A Sleepin' Bee,1954,"Truman Capote, Harold Arlen","Truman Capote, Harold Arlen",https://www.jazzstandards.com/compositions-7/asleepinbee.htm
702,I've Got a Feeling I'm Falling,1929,"Harry Link, Fats Waller",Billy Rose,https://www.jazzstandards.com/compositions-7/ivegotafeelingimfalling.htm
703,Chinatown My Chinatown,1906,Jean Schwartz,William Jerome,https://www.jazzstandards.com/compositions-7/chinatownmychinatown.htm
704,The Party's Over,1956,Jule Styne,"Betty Comden, Adolph Green",https://www.jazzstandards.com/compositions-7/thepartysover.htm
705,Witchcraft,1951,Cy Coleman,Carolyn Leigh,https://www.jazzstandards.com/compositions-7/witchcraft.htm
706,Reflections,1952,Thelonious Monk,Thelonious Monk,https://www.jazzstandards.com/compositions-7/reflections.htm
707,Send in the Clowns,1973,Stephen Sondheim,Stephen Sondheim,https://www.jazzstandards.com/compositions-7/sendintheclowns.htm
708,A Felicidade,1959,"Antonio Carlos Jobim, Andre Salvet",Vinicius De Moraes,https://www.jazzstandards.com/compositions-7/afelicidade.htm
709,Strollin',1960,Horace Silver,Horace Silver,https://www.jazzstandards.com/compositions-7/strollin.htm
710,Robbin's Nest,1947,"Charles Thompson, Illinois Jacquet","Charles Thompson, Illinois Jacquet",https://www.jazzstandards.com/compositions-7/robbinsnest.htm
711,Squatty Roo,1941,Johnny Hodges,Johnny Hodges,https://www.jazzstandards.com/compositions-7/squattyroo.htm
712,Jumpin' with Symphony Sid,1949,Lester Young,Buddy Feyne,https://www.jazzstandards.com/compositions-7/jumpinwithsymphonysid.htm
713,Desafinado,1959,Antonio Carlos Jobim,"Newton Mendonca, Jon Hendricks, Jessie Cavanaugh",https://www.jazzstandards.com/compositions-7/desafinado.htm
714,The Mooche,1929,"Duke Ellington, Irving Mills","Duke Ellington, Irving Mills",https://www.jazzstandards.com/compositions-7/themooche.htm
715,Loveless Love,1921,"W.C. Handy, Sy Oliver","W.C. Handy, Sy Oliver",https://www.jazzstandards.com/compositions-7/lovelesslove.htm
716,Candy,1945,"Mack David, Alex C Kramer, Joan Whitney","Mack David, Alex C Kramer, Joan Whitney",https://www.jazzstandards.com/compositions-7/candy.htm
717,What Are You Doing the Rest of Your Life,1969,Michel Jean Legrand,"Alan Bergman, Marilyn Bergman",https://www.jazzstandards.com/compositions-7/whatareyoudoingtherestofyourlife.htm
718,Isfahan,1964,"Duke Ellington, Billy Strayhorn","Duke Ellington, Billy Strayhorn",https://www.jazzstandards.com/compositions-7/isfahan.htm
719,Somewhere,1956,Leonard Bernstein,Stephen Sondheim,https://www.jazzstandards.com/compositions-7/somewhere.htm
720,Estate,1960,"Bruno Brighetti, Bruno Martino","Bruno Brighetti, Bruno Martino",https://www.jazzstandards.com/compositions-7/estate.htm
721,Happiness Is a Thing Called Joe,1942,Harold Arlen,Yip Harburg,https://www.jazzstandards.com/compositions-7/happinessisathingcalledjoe.htm
722,Unforgettable,1951,Irving Gordon,Irving Gordon,https://www.jazzstandards.com/compositions-7/unforgettable.htm
723,For You,1930,"Joseph A Burke, Al Dubin","Joseph A Burke, Al Dubin",https://www.jazzstandards.com/compositions-7/foryou.htm
724,Be My Love,1949,Nikolaus Brodszky,Sammy Cahn,https://www.jazzstandards.com/compositions-7/bemylove.htm
725,Memphis Blues,1912,W.C. Handy,George A. Norton,https://www.jazzstandards.com/compositions-7/memphisblues.htm
726,I Can't Escape from You,1936,Richard A. Whiting,Leo Robin,https://www.jazzstandards.com/compositions-7/icantescapefromyou.htm
727,Sidewinder,1959,Lee Morgan,Lee Morgan,https://www.jazzstandards.com/compositions-7/sidewinder.htm
728,Violets for Your Furs,1941,Matt Dennis,Thomas Adair,https://www.jazzstandards.com/compositions-7/violetsforyourfurs.htm
729,God Rest Ye Merry Gentlemen,rad.,Traditional,Traditional,https://www.jazzstandards.com/compositions-7/godrestyemerrygentlemen.htm
730,Meaning of the Blues,1957,Bobby Troup,Leah Worth,https://www.jazzstandards.com/compositions-7/meaningoftheblues.htm
731,Amazing Grace,rad.,Traditional,Traditional,https://www.jazzstandards.com/compositions-7/amazinggrace.htm
732,Rose of the Rio Grande,1922,Harry Warren,Edgar Leslie,https://www.jazzstandards.com/compositions-7/roseoftheriogrande.htm
733,Big Foot,1948,Charlie Parker,Charlie Parker,https://www.jazzstandards.com/compositions-7/bigfoot.htm
734,You Do Something to Me,1929,Cole Porter,Cole Porter,https://www.jazzstandards.com/compositions-7/youdosomethingtome.htm
735,I'll Walk Alone,1944,Jule Styne,Sammy Cahn,https://www.jazzstandards.com/compositions-7/illwalkalone.htm
736,Organ Grinder's Swing,1936,Will Hudson,"Irving Mills, Mitchell Parish",https://www.jazzstandards.com/compositions-7/organgrindersswing.htm
737,The One I Love (Belongs to Somebody Else),1924,Isham Jones,Gus Kahn,https://www.jazzstandards.com/compositions-7/theoneilove.htm
738,Jeep Is Jumpin',1938,"Duke Ellington, Johnny Hodges","Duke Ellington, Johnny Hodges",https://www.jazzstandards.com/compositions-7/jeepisjumpin.htm
739,One for My Baby (And One More for the Road),1943,Harold Arlen,Johnny Mercer,https://www.jazzstandards.com/compositions-7/oneformybaby.htm
740,Deep in a Dream,1938,"Eddie De Lange, Jimmy Van Heusen","Eddie De Lange, Jimmy Van Heusen",https://www.jazzstandards.com/compositions-7/deepinadream.htm
741,Four or Five Times,1927,Byron Gay,Byron Gay,https://www.jazzstandards.com/compositions-7/fourorfivetimes.htm
742,Dolphin Dance,1966,Herbie Hancock,Herbie Hancock,https://www.jazzstandards.com/compositions-7/dolphindance.htm
743,Goodnight My Love,1936,Harry Revel,Mack Gordon,https://www.jazzstandards.com/compositions-7/goodnightmylove.htm
744,Blue Turning Grey Over You,1929,Fats Waller,Andy Razaf,https://www.jazzstandards.com/compositions-7/blueturninggreyoveryou.htm
745,Green Eyes (Aquellos Ojos Verdes),1929,Nilo Menendez,"Adolfo Utrera, L Wolfe Gilbert",https://www.jazzstandards.com/compositions-7/greeneyes.htm
746,My Silent Love,1932,Dana Suesse,Edward Heyman,https://www.jazzstandards.com/compositions-7/mysilentlove.htm
747,You Brought a New Kind of Love to Me,1930,Irving Kahal,"Pierre Norman, Phillippe Saisse",https://www.jazzstandards.com/compositions-7/youbroughtanewkindoflovetome.htm
748,Relaxin' At Camarillo,1947,Charlie Parker,Charlie Parker,https://www.jazzstandards.com/compositions-7/relaxinatcamarillo.htm
749,Together,1928,Ray Henderson,"Lew Brown, BG De Sylva",https://www.jazzstandards.com/compositions-7/together.htm
750,(I Would Do) Anything for You,1932,"Alex Hill, Claude Hopkins","Alex Hill, Claude Hopkins",https://www.jazzstandards.com/compositions-7/anythingforyou.htm
751,What'll I Do,1924,Irving Berlin,Irving Berlin,https://www.jazzstandards.com/compositions-7/whatllido.htm
752,A Sunday Kind of Love,1946,"Barbara Belle, Anita Leonard Nye, Louis Prima, Stanley Wayne Rhodes","Barbara Belle, Anita Leonard Nye, Louis Prima, Stanley Wayne Rhodes",https://www.jazzstandards.com/compositions-7/asundaykindoflove.htm
753,I Guess I'll Have to Change My Plan,1929,Arthur Schwartz,Howard Dietz,https://www.jazzstandards.com/compositions-7/iguessillhavetochangemyplan.htm
754,Anything Goes,1934,Cole Porter,Cole Porter,https://www.jazzstandards.com/compositions-7/anythinggoes.htm
755,Spring Can Really Hang You Up the Most,1955,Thomas J Wolf Jr,Frances Landesman,https://www.jazzstandards.com/compositions-7/springcanreallyhangyouupthemost.htm
756,You're a Sweetheart,1937,Jimmy McHugh,Harold Adamson,https://www.jazzstandards.com/compositions-7/youreasweetheart.htm
757,Davenport Blues,1927,Bix Beiderbecke,Bix Beiderbecke,https://www.jazzstandards.com/compositions-7/davenportblues.htm
758,Hello Dolly,1964,Jerry Herman,Jerry Herman,https://www.jazzstandards.com/compositions-7/hellodolly.htm
759,Guilty,1931,"Harry Akst, Richard A. Whiting",Gus Kahn,https://www.jazzstandards.com/compositions-7/guilty.htm
760,The Thrill Is Gone,1931,Ray Henderson,Lew Brown,https://www.jazzstandards.com/compositions-7/thethrillisgone.htm
761,Everything Must Change,1974,Benard Ighner,Benard Ighner,https://www.jazzstandards.com/compositions-7/everythingmustchange.htm
762,Thanks for the Memory,1937,Ralph Rainger,Leo Robin,https://www.jazzstandards.com/compositions-7/thanksforthememory.htm
763,Isn't She Lovely,1976,Stevie Wonder,Stevie Wonder,https://www.jazzstandards.com/compositions-7/isntshelovely.htm
764,Young At Heart,1954,Johnny Richards,Carolyn Leigh,https://www.jazzstandards.com/compositions-7/youngatheart.htm
765,Daahoud,1955,Clifford Brown,Clifford Brown,https://www.jazzstandards.com/compositions-7/daahoud.htm
766,Let's Call the Whole Thing Off,1936,George Gershwin,Ira Gershwin,https://www.jazzstandards.com/compositions-7/letscallthewholethingoff.htm
767,Jive At Five,1939,"Count Basie, Harry Edison","Count Basie, Harry Edison",https://www.jazzstandards.com/compositions-7/jiveatfive.htm
768,West Coast Blues,1960,Wes Montgomery,Wes Montgomery,https://www.jazzstandards.com/compositions-7/westcoastblues.htm
769,More,1963,"Marcello Ciorciolini, Riziero Ortolani, Nino Oliviero, Norman Newell","Marcello Ciorciolini, Riziero Ortolani, Nino Oliviero, Norman Newell",https://www.jazzstandards.com/compositions-7/more.htm
770,You're Getting to Be a Habit with Me,1932,Harry Warren,Al Dubin,https://www.jazzstandards.com/compositions-7/youregettingtobeahabitwithme.htm
771,Impressions,1961,John Coltrane,John Coltrane,https://www.jazzstandards.com/compositions-7/impressions.htm
772,Afro Blue,1959,Mongo Santamaria,Mongo Santamaria,https://www.jazzstandards.com/compositions-7/afroblue.htm
773,Ev'rything I Love,1941,Cole Porter,Cole Porter,https://www.jazzstandards.com/compositions-7/evrythingilove.htm
774,P.S. I Love You,1934,Gordon Jenkins,Johnny Mercer,https://www.jazzstandards.com/compositions-7/psiloveyou.htm
775,In the Mood,1939,Joseph C Garland,Andy Razaf,https://www.jazzstandards.com/compositions-7/inthemood.htm
776,Moon Song (That Wasn't Meant for Me),1933,"Sam Coslow, Arthur Johnston","Sam Coslow, Arthur Johnston",https://www.jazzstandards.com/compositions-7/moonsong.htm
777,Smiles,1917,Lee S Roberts,J Will Callahan,https://www.jazzstandards.com/compositions-7/smiles.htm
778,It's a Wonderful World,1939,"Johnny Watson, Jan Savitt",Harold Adamson,https://www.jazzstandards.com/compositions-7/itsawonderfulworld.htm
779,The Hour of Parting,1931,Mischa Spoliansky,Gus Kahn,https://www.jazzstandards.com/compositions-7/thehourofparting.htm
780,Ray's Idea,1946,"Walter Gilbert Fuller, Ray Brown","Walter Gilbert Fuller, Ray Brown",https://www.jazzstandards.com/compositions-7/raysidea.htm
781,Just a Closer Walk with Thee,rad.,Traditional,Traditional,https://www.jazzstandards.com/compositions-7/justacloserwalkwiththee.htm
782,Namely You,1956,Gene De Paul,Johnny Mercer,https://www.jazzstandards.com/compositions-7/namelyyou.htm
783,Oh You Crazy Moon,1939,"Johnny Burke, Jimmy Van Heusen","Johnny Burke, Jimmy Van Heusen",https://www.jazzstandards.com/compositions-7/ohyoucrazymoon.htm
784,Trust in Me,1936,"Milton Ager, Jean Schwartz, Ned Wever","Milton Ager, Jean Schwartz, Ned Wever",https://www.jazzstandards.com/compositions-7/trustinme.htm
785,The Things We Did Last Summer,1946,Jule Styne,Sammy Cahn,https://www.jazzstandards.com/compositions-7/thethingswedidlastsummer.htm
786,And the Angels Sing,1939,Ziggy Elman,Johnny Mercer,https://www.jazzstandards.com/compositions-7/andtheangelssing.htm
787,Careless Love,1921,"W.C. Handy, Spencer Williams, Martha Koenig","W.C. Handy, Spencer Williams, Martha Koenig",https://www.jazzstandards.com/compositions-7/carelesslove.htm
788,If I Loved You,1945,Richard Rodgers,Oscar Hammerstein II,https://www.jazzstandards.com/compositions-7/ifilovedyou.htm
789,The Best Thing for You,1950,Irving Berlin,Irving Berlin,https://www.jazzstandards.com/compositions-7/thebestthingforyou.htm
790,Centerpiece,1958,Harry Edison,Jon Hendricks,https://www.jazzstandards.com/compositions-7/centerpiece.htm
791,Sugar Blues,1919,Clarence Williams,Lucy Fletcher,https://www.jazzstandards.com/compositions-7/sugarblues.htm
792,Sentimental Journey,1944,"Les Brown, Bud Green, Benjamin Homer","Les Brown, Bud Green, Benjamin Homer",https://www.jazzstandards.com/compositions-7/sentimentaljourney.htm
793,Un Poco Loco,1953,Bud Powell,Bud Powell,https://www.jazzstandards.com/compositions-7/unpocoloco.htm
794,I'm Yours,1930,Johnny Green,Yip Harburg,https://www.jazzstandards.com/compositions-7/imyours.htm
795,Portrait of Jennie,1948,J. Russel Robinson,Gordon Burdge,https://www.jazzstandards.com/compositions-7/portraitofjennie.htm
796,Salt Peanuts,1941,"Dizzy Gillespie, Kenny Clarke","Dizzy Gillespie, Kenny Clarke",https://www.jazzstandards.com/compositions-7/saltpeanuts.htm
797,Let's Do It (Let's Fall in Love),1928,Cole Porter,Cole Porter,https://www.jazzstandards.com/compositions-7/letsdoit.htm
798,Monk's Dream,1962,Thelonious Monk,Thelonious Monk,https://www.jazzstandards.com/compositions-7/monksdream.htm
799,Chasin' the Bird,1947,Charlie Parker,Charlie Parker,https://www.jazzstandards.com/compositions-7/chasinthebird.htm
800,On a Clear Day (You Can See Forever),1966,Burton Lane,Alan Jay Lerner,https://www.jazzstandards.com/compositions-7/onaclearday.htm
801,Jersey Bounce,1941,"Tiny Bradshaw, Edward Johnson, Bobby Plater, Robert B Wright","Robert B Wright, Buddy Feyne",https://www.jazzstandards.com/compositions-8/jerseybounce.htm
802,Comes Love,1939,Sam H Stept,"Lew Brown, Charles Tobias",https://www.jazzstandards.com/compositions-8/comeslove.htm
803,Five O'clock Whistle,1940,"Kim Gannon, William C K Irwin, Josef Myrow","Kim Gannon, William C K Irwin, Josef Myrow",https://www.jazzstandards.com/compositions-8/fiveoclockwhistle.htm
804,A Nightingale Sang in Berkeley Square,1940,"Eric Maschwitz, Manning Sherwin, Jack Strachey","Eric Maschwitz, Manning Sherwin, Jack Strachey",https://www.jazzstandards.com/compositions-8/anightingalesanginberkeleysquare.htm
805,Is You Is or Is You Ain't My Baby?,1943,Louis Jordan,Billy Austin,https://www.jazzstandards.com/compositions-8/isyouisorisyouaintmybaby.htm
806,People Will Say We're in Love,1943,Richard Rodgers,Oscar Hammerstein II,https://www.jazzstandards.com/compositions-8/peoplewillsaywereinlove.htm
807,Harlem Nocturne,1943,Earle H Hagen,Dick Rogers,https://www.jazzstandards.com/compositions-8/harlemnocturne.htm
808,Blood Count,1967,Billy Strayhorn,Billy Strayhorn,https://www.jazzstandards.com/compositions-8/bloodcount.htm
809,The Flat Foot Floogie,1938,"Slim Gaillard, Slam Stewart, Bud Green","Slim Gaillard, Slam Stewart, Bud Green",https://www.jazzstandards.com/compositions-8/theflatfootfloogie.htm
810,Bloomdido,1953,Charlie Parker,Charlie Parker,https://www.jazzstandards.com/compositions-8/bloomdido.htm
811,Everything but You,1945,"Duke Ellington, Don George, Harry James","Duke Ellington, Don George, Harry James",https://www.jazzstandards.com/compositions-8/everythingbutyou.htm
812,At Sundown,1927,Walter Donaldson,Walter Donaldson,https://www.jazzstandards.com/compositions-8/atsundown.htm
813,Sugar Foot Stomp,1926,King Oliver,King Oliver,https://www.jazzstandards.com/compositions-8/sugarfootstomp.htm
814,Roll 'Em,1938,Mary Lou Williams,Mary Lou Williams,https://www.jazzstandards.com/compositions-8/rollem.htm
815,Heart and Soul,1938,Hoagy Carmichael,Frank Loesser,https://www.jazzstandards.com/compositions-8/heartandsoul.htm
816,Sent for You Yesterday,1938,"Count Basie, Eddie Durham, Jimmy Rushing","Count Basie, Eddie Durham, Jimmy Rushing",https://www.jazzstandards.com/compositions-8/sentforyouyesterday.htm
817,Two Sleepy People,1938,Hoagy Carmichael,Frank Loesser,https://www.jazzstandards.com/compositions-8/twosleepypeople.htm
818,The Best Things in Life Are Free,1927,Ray Henderson,"BG De Sylva, Lew Brown",https://www.jazzstandards.com/compositions-8/thebestthingsinlifearefree.htm
819,What Will I Tell My Heart,1937,"Peter Tinturin, Jack Lawrence","Peter Tinturin, Jack Lawrence",https://www.jazzstandards.com/compositions-8/whatwillitellmyheart.htm
820,Lament,1954,J. J. Johnson,J. J. Johnson,https://www.jazzstandards.com/compositions-8/lament.htm
821,Love Is Just Around the Corner,1934,Lewis E Gensler,Leo Robin,https://www.jazzstandards.com/compositions-8/loveisjustaroundthecorner.htm
822,Exodus,1960,Ernest Gold,Pat Boone,https://www.jazzstandards.com/compositions-8/exodus.htm
823,Fidgety Feet,1919,"Nick LaRocca, Larry Shields","Nick LaRocca, Larry Shields",https://www.jazzstandards.com/compositions-8/fidgetyfeet.htm
824,That Old Devil Called Love,1944,Allan Roberts,Doris Fisher,https://www.jazzstandards.com/compositions-8/thatolddevilcalledlove.htm
825,Glad to Be Unhappy,1936,Richard Rodgers,Lorenz Hart,https://www.jazzstandards.com/compositions-8/gladtobeunhappy.htm
826,Shim-Me-Sha-Wabble,1917,Spencer Williams,Spencer Williams,https://www.jazzstandards.com/compositions-8/shimmeshawabble.htm
827,By Myself,1937,Arthur Schwartz,Howard Dietz,https://www.jazzstandards.com/compositions-8/bymyself.htm
828,After Hours,1946,Avery Parrish,"Robert Bruce, Buddy Feyne",https://www.jazzstandards.com/compositions-8/afterhours.htm
829,Star Crossed Lovers,1944,"Duke Ellington, Billy Strayhorn","Duke Ellington, Billy Strayhorn",https://www.jazzstandards.com/compositions-8/starcrossedlovers.htm
830,You're a Lucky Guy,1939,Saul Chaplin,Sammy Cahn,https://www.jazzstandards.com/compositions-8/yourealuckyguy.htm
831,Sometime Ago,1962,Sergio Mihanovich,Sergio Mihanovich,https://www.jazzstandards.com/compositions-8/sometimeago.htm
832,Don't Go to Strangers,1954,"Arthur Kent, David A Mann",Redd Evans,https://www.jazzstandards.com/compositions-8/dontgotostrangers.htm
833,The Duke,1955,Dave Brubeck,Dave Brubeck,https://www.jazzstandards.com/compositions-8/theduke.htm
834,Johnny Come Lately,1944,Billy Strayhorn,Billy Strayhorn,https://www.jazzstandards.com/compositions-8/johnnycomelately.htm
835,Tain't What You Do,1939,"Trummy Young, Sy Oliver","Trummy Young, Sy Oliver",https://www.jazzstandards.com/compositions-8/taintwhatyoudo.htm
836,Deep Night,1929,Charles E Henderson,Rudy Vallee,https://www.jazzstandards.com/compositions-8/deepnight.htm
837,Black and Tan Fantasy,1927,"Duke Ellington, Bubber Miley","Duke Ellington, Bubber Miley",https://www.jazzstandards.com/compositions-8/blackandtanfantasy.htm
838,Marie,1928,Irving Berlin,Irving Berlin,https://www.jazzstandards.com/compositions-8/marie.htm
839,Summer Night,1936,Harry Warren,Al Dubin,https://www.jazzstandards.com/compositions-8/summernight.htm
